year_film,year_award,ceremony,category,win,title
1943,1944,1,Best Performance by an Actress in a Supporting Role in any Motion Picture,TRUE,For Whom The Bell Tolls
1943,1944,1,Best Performance by an Actor in a Supporting Role in any Motion Picture,TRUE,For Whom The Bell Tolls
1943,1944,1,Best Director - Motion Picture,TRUE,The Song Of Bernadette
1943,1944,1,Picture,TRUE,The Song Of Bernadette
1943,1944,1,Actress In A Leading Role,TRUE,The Song Of Bernadette
1943,1944,1,Actor In A Leading Role,TRUE,Watch On The Rhine
1944,1945,2,Best Performance by an Actress in a Supporting Role in any Motion Picture,TRUE,Mrs. Parkington
1944,1945,2,Best Performance by an Actor in a Supporting Role in any Motion Picture,TRUE,Going My Way
1944,1945,2,Best Director - Motion Picture,TRUE,Going My Way
1944,1945,2,Picture,TRUE,Going My Way
1944,1945,2,Actress In A Leading Role,TRUE,Gaslight
1944,1945,2,Actor In A Leading Role,TRUE,Wilson
1945,1946,3,Best Performance by an Actress in a Supporting Role in any Motion Picture,TRUE,The Picture of Dorian Gray
1945,1946,3,Best Performance by an Actor in a Supporting Role in any Motion Picture,TRUE,A Medal For Benny
1945,1946,3,Best Director - Motion Picture,TRUE,The Lost Weekend
1945,1946,3,Promoting International Understanding,TRUE,The House I Live In
1945,1946,3,Picture,TRUE,The Lost Weekend
1945,1946,3,Actress In A Leading Role,TRUE,The Bells of St. Mary's
1945,1946,3,Actor In A Leading Role,TRUE,The Lost Weekend
1946,1947,4,Best Performance by an Actress in a Supporting Role in any Motion Picture,TRUE,The Razor's Edge
1946,1947,4,Best Performance by an Actor in a Supporting Role in any Motion Picture,TRUE,The Razor's Edge
1946,1947,4,Best Director - Motion Picture,TRUE,It's A Wonderful Life
1946,1947,4,Promoting International Understanding,TRUE,The Last Chance
1946,1947,4,Special Achievement Award,FALSE,The Best Years Of Our Lives
1946,1947,4,Picture,TRUE,The Best Years Of Our Lives
1946,1947,4,Actress In A Leading Role,TRUE,Sister Kenny
1946,1947,4,Actor In A Leading Role,TRUE,The Yearling
1947,1948,5,Best Performance by an Actress in a Supporting Role in any Motion Picture,TRUE,Gentleman's Agreement
1947,1948,5,Best Performance by an Actor in a Supporting Role in any Motion Picture,TRUE,Miracle On 34th Street
