"","title","wins","gg_bpw"
"1","$1,000,000 Duck (1971)",0,0
"2","'Round Midnight (1986)",0,0
"3","'night, Mother (1986)",0,0
"4","(500) Days of Summer (2009)",0,0
"5","10 (1979)",0,0
"6","101 Dalmatians (1996)",0,0
"7","12 Angry Men (1957)",0,0
"8","12 Years a Slave (2013)",1,1
"9","127 Hours (2010)",0,0
"10","1492: Conquest Of Paradise (1992)",0,0
"11","1776 (1972)",0,0
"12","1917 (2019)",2,1
"13","20th Century Women (2016)",0,0
"14","25th Hour (2002)",0,0
"15","40 Carats (1973)",0,0
"16","5 Fingers (1952)",1,0
"17","50/50 (2011)",0,0
"18","8 Mile (2002)",0,0
"19","99 Homes (2015)",0,0
"20","A Beautiful Day in the Neighborhood (2019)",0,0
"21","A Beautiful Mind (2001)",4,1
"22","A Bug's Life (1998)",0,0
"23","A Chorus Line: The Movie (1985)",0,0
"24","A Civil Action (1998)",0,0
"25","A Clockwork Orange (1971)",0,0
"26","A Cry in the Dark (1988)",0,0
"27","A Dangerous Method (2011)",0,0
"28","A Dangerous Woman (1993)",0,0
"29","A Delicate Balance (1973)",0,0
"30","A Dry White Season (1989)",0,0
"31","A Few Good Men (1992)",0,0
"32","A Fish Called Wanda (1988)",0,0
"33","A Funny Thing Happened on the Way to the Forum (1966)",0,0
"34","A Global Affair (1963)",0,0
"35","A Good Night, and Good Luck (2005)",0,0
"36","A Hatful of Rain (1957)",0,0
"37","A History of Violence (2005)",0,0
"38","A Ideal Husbandn (1999)",0,0
"39","A League of Their Own (1992)",0,0
"40","A Life Of Her Own (1950)",0,0
"41","A Little Romance (1979)",0,0
"42","A Love Song For Bobby Long (2004)",0,0
"43","A Man And A Woman (1966)",1,0
"44","A Man Could Get Killed (1966)",1,0
"45","A Man for All Seasons (1966)",4,1
"46","A Map of the World (1999)",0,0
"47","A Medal For Benny (1945)",1,0
"48","A Mighty Heart (2007)",0,0
"49","A Month by the Lake (1995)",0,0
"50","A Most Violent Year (2014)",0,0
"51","A New Leaf (1971)",0,0
"52","A Officer and a Gentlemann (1982)",2,0
"53","A Passage to India (1984)",2,0
"54","A Patch of Blue (1965)",0,0
"55","A Place In The Sun (1951)",1,1
"56","A Private War (2018)",0,0
"57","A Quiet Place (2018)",0,0
"58","A Raisin in the Sun (1961)",0,0
"59","A River Runs Through It (1992)",0,0
"60","A Room with a View (1986)",1,0
"61","A Serious Man (2009)",0,0
"62","A Sex, Lies, and Videotape (1989)",0,0
"63","A Simple Plan, a (1998)",0,0
"64","A Single Man (2009)",0,0
"65","A Soldier's Story (1984)",0,0
"66","A Special Day (1977)",0,0
"67","A Star Is Born (1976)",5,1
"68","A Star Is Born (2018)",1,0
"69","A Star is Born (1954)",1,0
"70","A Streetcar Named Desire (1951)",1,0
"71","A Thousand Acres (1997)",0,0
"72","A Thousand Clowns (1965)",0,0
"73","A Ticklish Affair (1963)",0,0
"74","A Time to Kill (1996)",0,0
"75","A Touch of Class (1973)",2,0
"76","A Unmarried Womann (1978)",0,0
"77","A View to a Kill (1985)",0,0
"78","A Walk in the Clouds (1995)",1,0
"79","A Wedding (1978)",0,0
"80","A Woman Under The Influence (1974)",1,0
"81","A. I.: Artificial Intelligence (2001)",0,0
"82","About Schmidt (2002)",2,0
"83","About a Boy (2002)",0,0
"84","Absence of Malice (1981)",0,0
"85","Across The Universe (2007)",0,0
"86","Act of Valor (2012)",0,0
"87","Adam's Rib (1950)",0,0
"88","Adaptation (2002)",2,0
"89","Addams Family Values (1993)",0,0
"90","Affliction (1998)",0,0
"91","After Hours (1985)",0,0
"92","Against All Odds (1984)",0,0
"93","Agnes of God (1985)",1,0
"94","Airplane! (1980)",0,0
"95","Airport (1970)",1,0
"96","Aladdin (1992)",2,0
"97","Albert Nobbs (2011)",0,0
"98","Alfie (1966)",0,0
"99","Alfie (2004)",1,0
"100","Ali (2001)",0,0
"101","Alice (1990)",0,0
"102","Alice Doesn't Live Here Anymore (1974)",0,0
"103","Alice in Wonderland (2010)",0,0
"104","Alien (1979)",0,0
"105","Aliens (1986)",0,0
"106","All About Eve (1950)",1,0
"107","All Is Lost (2013)",1,0
"108","All That Jazz (1979)",0,0
"109","All The King's Men (1949)",3,1
"110","All The Money In The World (2017)",0,0
"111","All The President's Men (1976)",0,0
"112","All The Pretty Horses (2000)",0,0
"113","All of Me (1984)",0,0
"114","Almost Famous (2000)",2,1
"115","Amadeus (1984)",4,1
"116","America America (1963)",0,0
"117","America, America (1963)",1,0
"118","American Beauty (1999)",3,1
"119","American Gangster (2007)",0,0
"120","American Gigolo (1980)",0,0
"121","American Graffiti (1973)",1,1
"122","American Hustle (2013)",3,1
"123","American Splendor (2003)",0,0
"124","American Tail (1986)",0,0
"125","Amistad (1997)",0,0
"126","An American In Paris (1951)",1,1
"127","An American Tail : Fievel Goes West (1991)",0,0
"128","An Education (2009)",0,0
"129","An Ideal Husband (1999)",0,0
"130","Analyze This (1999)",0,0
"131","Anastasia (1956)",0,0
"132","Anastasia (1997)",0,0
"133","Anatomy of a Murder (1959)",0,0
"134","And Justice For All (1979)",0,0
"135","Angela's Ashes (1999)",0,0
