"","film","year_film","nom_bp","nom_dir","nom_aml","nom_afl","nom_cin","nom_prod","nom_wa","nom_wo","nom_fm","nom_mo","nom_ms","nom_ams","nom_afs","nom_vis","nom_cos","nom_mak","nom_sm","won_bp"
"1","12 Angry Men (1957)",1957,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2","12 Years a Slave (2013)",2013,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1
"3","127 Hours (2010)",2010,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
"4","1917 (2019)",2019,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0
"5","42nd Street (1932)",1932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6","7th Heaven (1927)",1927,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"7","A Beautiful Mind (2001)",2001,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1
"8","A Clockwork Orange (1971)",1971,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"9","A Farewell to Arms (1932)",1932,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"10","A Few Good Men (1992)",1992,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"11","A Letter to Three Wives (1949)",1949,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","A Man for All Seasons (1966)",1966,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1
"13","A Midsummer Night's Dream (1935)",1935,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"14","A Passage to India (1984)",1984,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0
"15","A Place in the Sun (1951)",1951,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
"16","A Room with a View (1986)",1986,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
"17","A Serious Man (2009)",2009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"18","A Soldier's Story (1984)",1984,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"19","A Star Is Born (1937)",1937,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","A Star Is Born (2018)",2018,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
